 ,Area,Perim.,Circ.,AR,Round,Solidity,EqDiam_um,Image
1,122,50.8701,0.5924,2.6221,0.3814,0.8561,12.4634,old 9.png
2,2,4.8284,1.0000,2.0000,0.5000,1.0000,1.5958,old 9.png
3,115,40.3848,0.8861,1.5500,0.6452,0.9504,12.1005,old 9.png
4,26,18.1421,0.9927,1.3916,0.7186,0.8814,5.7536,old 9.png
5,181,52.1838,0.8353,1.3514,0.7399,0.8894,15.1808,old 9.png
6,59,27.2132,1.0000,1.2618,0.7925,0.8939,8.6672,old 9.png
7,1,2.8284,1.0000,1.0000,1.0000,1.0000,1.1284,old 9.png
8,3777,522.9432,0.1736,3.0310,0.3299,0.6857,69.3471,old 9.png
9,70,31.7990,0.8699,1.6285,0.6140,0.9032,9.4407,old 9.png
10,17174,861.3768,0.2909,2.8027,0.3568,0.8272,147.8736,old 9.png
11,131,41.4558,0.9579,1.0840,0.9225,0.9291,12.9149,old 9.png
12,27202,1535.2561,0.1450,2.5846,0.3869,0.6626,186.1039,old 9.png
13,7,9.0711,1.0000,1.3797,0.7248,0.8750,2.9854,old 9.png
14,227,86.8112,0.3785,5.7396,0.1742,0.7605,17.0007,old 9.png
15,7,9.8995,0.8976,1.6678,0.5996,0.7778,2.9854,old 9.png
16,17,15.0711,0.9405,1.9765,0.5059,0.9714,4.6524,old 9.png
17,16,18.4853,0.5884,2.7129,0.3686,0.8000,4.5135,old 9.png
18,58,31.4558,0.7366,2.3049,0.4339,0.8406,8.5935,old 9.png
19,2531,242.6934,0.5400,1.4682,0.6811,0.8011,56.7677,old 9.png
20,32,20.7279,0.9359,1.3513,0.7401,0.8767,6.3831,old 9.png
21,37,25.3137,0.7256,2.1187,0.4720,0.8706,6.8637,old 9.png
22,193,52.8701,0.8677,1.3887,0.7201,0.9212,15.6759,old 9.png
23,1,2.8284,1.0000,1.0000,1.0000,1.0000,1.1284,old 9.png
24,320,77.8406,0.6637,1.6812,0.5948,0.8279,20.1851,old 9.png
25,2719,330.5757,0.3127,2.8472,0.3512,0.7789,58.8382,old 9.png
26,36,22.9706,0.8574,1.9965,0.5009,0.8889,6.7703,old 9.png
27,166,61.5980,0.5498,2.0245,0.4939,0.7757,14.5381,old 9.png
28,48,30.6274,0.6430,3.1565,0.3168,0.7934,7.8176,old 9.png
29,15,13.8995,0.9757,1.4391,0.6949,0.8571,4.3702,old 9.png
30,368,103.6396,0.4305,1.7493,0.5717,0.7788,21.6461,old 9.png
31,58,36.0416,0.5611,2.8483,0.3511,0.8000,8.5935,old 9.png
32,648,120.2254,0.5634,2.0903,0.4784,0.8244,28.7238,old 9.png
33,606,109.2965,0.6375,2.2193,0.4506,0.8417,27.7774,old 9.png
34,220,79.7401,0.4348,4.6117,0.2168,0.8224,16.7366,old 9.png
35,2,4.2426,1.0000,2.0000,0.5000,1.0000,1.5958,old 9.png
36,90,40.9706,0.6738,1.9234,0.5199,0.8780,10.7047,old 9.png
37,132,60.2843,0.4564,2.8554,0.3502,0.6984,12.9641,old 9.png
38,335,79.0122,0.6743,1.5143,0.6604,0.8407,20.6527,old 9.png
39,25,19.8995,0.7934,2.0900,0.4785,0.8929,5.6419,old 9.png
40,1197,188.8528,0.4218,2.5609,0.3905,0.7932,39.0393,old 9.png
41,12371,559.4285,0.4967,2.0361,0.4911,0.8850,125.5040,old 9.png
42,219,57.5980,0.8295,1.9080,0.5241,0.9221,16.6985,old 9.png
43,256,85.1543,0.4436,1.0515,0.9511,0.6836,18.0541,old 9.png
44,10,11.0711,1.0000,1.2356,0.8093,0.9091,3.5682,old 9.png
45,97,45.6985,0.5837,2.4043,0.4159,0.7698,11.1132,old 9.png
46,10717,645.0681,0.3236,1.2757,0.7839,0.8513,116.8131,old 9.png
47,2623,324.1493,0.3137,2.3891,0.4186,0.6873,57.7902,old 9.png
48,357,76.6690,0.7632,2.0012,0.4997,0.9309,21.3201,old 9.png
49,114,38.6274,0.9601,1.1384,0.8784,0.9268,12.0478,old 9.png
50,432,89.4975,0.6778,2.5026,0.3996,0.9019,23.4529,old 9.png
51,15,14.4853,0.8984,1.8663,0.5358,0.9091,4.3702,old 9.png
52,611,122.3259,0.5131,2.6165,0.3822,0.8066,27.8917,old 9.png
53,772,117.2965,0.7051,1.7003,0.5881,0.8818,31.3519,old 9.png
54,106,38.8701,0.8816,1.6723,0.5980,0.8945,11.6174,old 9.png
55,26,18.1421,0.9927,1.5853,0.6308,0.8966,5.7536,old 9.png
56,196,55.6985,0.7939,1.7890,0.5590,0.8970,15.7973,old 9.png
57,84,40.6274,0.6395,2.5744,0.3884,0.8615,10.3418,old 9.png
58,19,15.8995,0.9445,1.6672,0.5998,0.8837,4.9185,old 9.png
59,250,104.7107,0.2865,2.7349,0.3656,0.5097,17.8412,old 9.png
60,69,34.3848,0.7334,2.2290,0.4486,0.8790,9.3730,old 9.png
61,90,39.7990,0.7140,2.6295,0.3803,0.9000,10.7047,old 9.png
62,945,180.6518,0.3639,3.5986,0.2779,0.7680,34.6873,old 9.png
63,3335,227.6224,0.8089,1.4313,0.6987,0.9587,65.1633,old 9.png
64,451,101.3970,0.5512,1.8959,0.5275,0.7892,23.9631,old 9.png
65,231,58.1838,0.8575,1.4483,0.6905,0.9167,17.1499,old 9.png
66,12565,958.1707,0.1720,2.4339,0.4109,0.6384,126.4842,old 9.png
67,1456,148.0244,0.8350,1.2419,0.8052,0.9315,43.0562,old 9.png
68,54,39.1127,0.4436,4.5472,0.2199,0.7248,8.2919,old 9.png
69,280,61.9411,0.9171,1.2504,0.7997,0.9412,18.8814,old 9.png
70,19,15.8995,0.9445,1.3955,0.7166,0.9048,4.9185,old 9.png
71,71,33.7990,0.7810,2.0566,0.4862,0.8987,9.5079,old 9.png
72,359,91.9828,0.5332,3.5997,0.2778,0.8329,21.3797,old 9.png
73,890,186.3087,0.3222,2.2307,0.4483,0.6274,33.6628,old 9.png
74,87,33.7990,0.9570,1.2999,0.7693,0.9206,10.5248,old 9.png
75,213,57.1127,0.8206,1.4824,0.6746,0.9045,16.4682,old 9.png
76,22,17.3137,0.9223,1.8143,0.5512,0.8980,5.2926,old 9.png
77,4,5.6569,1.0000,1.0000,1.0000,1.0000,2.2568,old 9.png
78,15973,1272.9646,0.1239,1.5439,0.6477,0.5794,142.6095,old 9.png
79,16,13.8995,1.0000,1.2344,0.8101,0.8889,4.5135,old 9.png
80,12,14.4853,0.7187,2.1223,0.4712,0.8276,3.9088,old 9.png
81,10,11.0711,1.0000,1.2356,0.8093,0.9091,3.5682,old 9.png
82,32,20.7279,0.9359,1.7344,0.5766,0.9143,6.3831,old 9.png
83,903,180.5513,0.3481,2.8884,0.3462,0.6137,33.9077,old 9.png
84,50,26.9706,0.8638,1.5455,0.6470,0.8772,7.9788,old 9.png
85,1,2.8284,1.0000,1.0000,1.0000,1.0000,1.1284,old 9.png
86,29,20.1421,0.8982,1.5501,0.6451,0.8657,6.0765,old 9.png
87,114,44.8701,0.7115,1.4909,0.6707,0.8476,12.0478,old 9.png
88,64,31.4558,0.8128,1.8045,0.5542,0.8477,9.0270,old 9.png
89,1,2.8284,1.0000,1.0000,1.0000,1.0000,1.1284,old 9.png
90,46,25.5563,0.8851,1.3694,0.7303,0.8762,7.6530,old 9.png
91,114,40.6274,0.8679,1.0994,0.9096,0.8976,12.0478,old 9.png
92,290,80.6690,0.5600,2.7025,0.3700,0.8078,19.2156,old 9.png
93,46,24.7279,0.9453,1.2486,0.8009,0.9200,7.6530,old 9.png
94,59,28.9706,0.8834,1.5978,0.6258,0.9008,8.6672,old 9.png
95,18,14.4853,1.0000,1.2175,0.8214,0.9474,4.7873,old 9.png
96,12,11.8995,1.0000,1.1349,0.8811,0.8571,3.9088,old 9.png
