 ,Area,Perim.,Circ.,AR,Round,Solidity,EqDiam_um,Image
1,344,92.6690,0.5034,2.4982,0.4003,0.8269,20.9283,young37.png
2,2693,339.1787,0.2942,2.0110,0.4973,0.7530,58.5562,young37.png
3,128,47.4558,0.7142,2.0855,0.4795,0.9242,12.7662,young37.png
4,2,4.8284,1.0000,2.0000,0.5000,1.0000,1.5958,young37.png
5,3453,246.7939,0.7124,1.5718,0.6362,0.9020,66.3061,young37.png
6,1125,153.3381,0.6013,2.8018,0.3569,0.9286,37.8470,young37.png
7,11,11.8995,0.9762,1.0351,0.9661,0.8462,3.7424,young37.png
8,1116,165.0955,0.5145,2.8063,0.3563,0.9011,37.6953,young37.png
9,53,29.5563,0.7624,1.2679,0.7887,0.8154,8.2147,young37.png
10,4,5.6569,1.0000,1.0000,1.0000,1.0000,2.2568,young37.png
11,179,50.6274,0.8776,1.7430,0.5737,0.9496,15.0967,young37.png
12,11593,725.0681,0.2771,3.5537,0.2814,0.6716,121.4935,young37.png
13,2894,215.3797,0.7840,1.4136,0.7074,0.9485,60.7022,young37.png
14,154,51.6985,0.7241,2.1533,0.4644,0.9112,14.0028,young37.png
15,2508,208.1665,0.7273,1.1441,0.8740,0.9059,56.5092,young37.png
16,747,116.4680,0.6920,1.6031,0.6238,0.8941,30.8401,young37.png
17,383,95.0122,0.5332,2.9057,0.3441,0.8344,22.0828,young37.png
18,2221,232.9361,0.5144,1.6789,0.5956,0.7615,53.1777,young37.png
19,4,5.6569,1.0000,1.0000,1.0000,1.0000,2.2568,young37.png
20,4,7.0711,1.0000,2.0313,0.4923,0.8000,2.2568,young37.png
21,551,108.2254,0.5912,1.3829,0.7231,0.8267,26.4869,young37.png
22,22,16.7279,0.9880,1.3111,0.7627,0.8800,5.2926,young37.png
23,2528,287.3209,0.3848,2.4258,0.4122,0.8445,56.7340,young37.png
24,15,13.8995,0.9757,1.1856,0.8434,0.8824,4.3702,young37.png
25,430,87.9828,0.6980,1.7434,0.5736,0.8848,23.3986,young37.png
26,2,4.2426,1.0000,2.0000,0.5000,1.0000,1.5958,young37.png
27,6,8.4853,1.0000,1.2910,0.7746,0.8000,2.7640,young37.png
28,1227,155.6396,0.6365,2.7151,0.3683,0.9504,39.5255,young37.png
29,417,76.7696,0.8891,1.4828,0.6744,0.9542,23.0422,young37.png
30,511,84.6690,0.8957,1.0956,0.9127,0.9463,25.5074,young37.png
31,4574,391.2620,0.3755,3.0244,0.3306,0.7394,76.3138,young37.png
32,65,30.9706,0.8516,1.7251,0.5797,0.9028,9.0973,young37.png
33,688,108.2254,0.7381,1.7517,0.5709,0.9247,29.5971,young37.png
34,433,109.3970,0.4547,1.6331,0.6123,0.7491,23.4800,young37.png
35,58,38.9706,0.4799,4.4066,0.2269,0.8056,8.5935,young37.png
36,15,13.8995,0.9757,2.1476,0.4656,0.9091,4.3702,young37.png
37,6578,349.6051,0.6763,1.4045,0.7120,0.8931,91.5170,young37.png
38,409,106.8112,0.4505,3.6263,0.2758,0.8305,22.8201,young37.png
39,181,62.7696,0.5773,2.9027,0.3445,0.8322,15.1808,young37.png
40,1164,152.5685,0.6284,2.9232,0.3421,0.9395,38.4974,young37.png
41,149,47.4558,0.8314,1.8637,0.5366,0.9283,13.7736,young37.png
42,4287,320.7767,0.5235,1.7867,0.5597,0.8109,73.8808,young37.png
43,401,83.6985,0.7193,2.1220,0.4712,0.9391,22.5958,young37.png
44,309,69.5980,0.8016,1.3991,0.7147,0.9035,19.8351,young37.png
45,1675,200.1665,0.5253,1.8608,0.5374,0.8713,46.1809,young37.png
46,3994,336.0071,0.4446,3.7697,0.2653,0.8586,71.3114,young37.png
47,46,26.1421,0.8458,1.8214,0.5490,0.8846,7.6530,young37.png
48,246,65.3553,0.7237,2.2599,0.4425,0.9248,17.6979,young37.png
49,2978,289.3381,0.4470,3.2274,0.3098,0.9160,61.5768,young37.png
50,3070,412.8183,0.2264,1.9783,0.5055,0.6254,62.5208,young37.png
51,3272,346.5757,0.3423,2.1689,0.4611,0.7661,64.5449,young37.png
52,10035,668.2986,0.2823,3.2126,0.3113,0.7661,113.0352,young37.png
53,1864,240.4924,0.4050,1.2414,0.8055,0.7313,48.7167,young37.png
54,5400,444.7767,0.3430,4.0252,0.2484,0.8060,82.9186,young37.png
55,607,125.9828,0.4806,2.6519,0.3771,0.8292,27.8003,young37.png
