Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
3,5.3258,5.6358,0.0335,0,10.7582,0.0781,0,5.1226,5.1763,255,255
3,4.8198,0.5134,0.1674,0,5.1113,0.0335,0,4.5999,4.6752,255,255
3,4.1874,17.9341,0.0335,0,22.0522,0.1562,0,4.1199,4.1374,255,255
3,3.2193,22.6994,3.2029,0,22.7106,0.2232,0,2.9797,3.1150,255,255
3,3.1299,17.1641,15.4343,0,20.2108,15.4343,0,3.0467,3.0549,255,255
3,3.0886,21.0143,15.2334,0,22.7329,14.2067,0,2.0020,2.9582,255,255
3,2.8209,10.7582,0.0781,0,13.4590,0.1451,0,2.7015,2.7420,255,255
3,2.7759,0.1228,4.5644,0,0.1674,1.9642,0,2.6007,2.6729,255,255
3,2.4534,0.1451,11.2381,0,0.2232,8.9280,0,2.3114,2.4051,255,255
3,2.3764,20.4340,8.8499,0,22.2307,9.6869,0,1.9821,2.2297,255,255
3,2.3713,0.0223,4.7765,0,0.0670,7.1201,0,2.3440,2.3409,255,255
3,2.2106,20.6014,6.9415,0,22.6548,6.6290,0,2.0771,2.0853,255,255
3,2.0509,2.0981,2.0311,0,0.1674,1.9642,0,1.9318,1.9632,255,255
3,2.0258,22.6436,5.6804,0,22.7664,3.7609,0,1.9234,2.0021,255,255
3,1.8318,6.1826,15.3227,0,7.9682,15.4343,0,1.7891,1.7732,255,255
3,1.7695,0.0446,15.2892,0,0.1004,13.5706,0,1.7195,1.7302,255,255
3,1.7341,2.7119,15.4343,0,4.3859,15.2892,0,1.6803,1.6763,255,255
3,1.5244,20.3335,14.2960,0,21.0143,15.2334,0,1.1585,1.4327,255,255
3,1.4721,19.2510,5.9706,0,20.2554,6.4728,0,1.1230,1.3697,255,255
3,1.3990,0.1339,0.6808,0,0.1674,1.9642,0,1.2838,1.3361,255,255
3,1.3462,22.7329,14.2067,0,22.7552,12.9344,0,1.2724,1.2893,255,255
3,1.3446,13.2134,15.4343,0,14.5303,15.4343,0,1.3169,1.3124,255,255
3,1.3377,16.3494,0.1228,0,17.5993,0.1116,0,1.2500,1.2954,255,255
3,1.2158,13.4924,0.1339,0,14.5973,0.1562,0,1.1051,1.1442,255,255
3,1.1699,1.0379,15.4343,0,2.1985,15.4343,0,1.1606,1.1517,255,255
3,1.1145,15.3227,0.1116,0,16.3494,0.1228,0,1.0268,1.0662,255,255
3,1.1123,21.7508,11.6957,0,22.6994,12.0528,0,1.0136,1.0438,255,255
3,1.1011,22.6436,5.6804,0,22.6548,6.6290,0,0.9487,1.0300,255,255
3,1.0714,11.8296,15.4343,0,12.9010,15.4343,0,1.0714,1.0602,255,255
3,1.0653,0.1116,7.9459,0,0.2232,8.9280,0,0.9884,1.0172,255,255
3,1.0331,22.5209,8.8834,0,22.6771,9.7092,0,0.8405,0.9858,255,255
3,1.0138,0.1451,11.2381,0,0.2232,12.1086,0,0.8740,0.9682,255,255
3,1.0061,21.2040,8.4258,0,21.9629,7.9459,0,0.8979,0.9455,255,255
3,0.9972,21.7508,12.1979,0,22.3870,12.6778,0,0.7968,0.9122,255,255
3,0.9860,22.0522,0.1562,0,22.7106,0.2232,0,0.6618,0.9493,255,255
3,0.9760,22.6994,12.0528,0,22.7552,12.9344,0,0.8834,0.9014,255,255
3,0.9754,0.6250,9.2851,0,1.0714,9.5530,0,0.5206,0.8998,255,255
3,0.9691,0.1674,13.0349,0,0.2009,12.2090,0,0.8265,0.9365,255,255
3,0.9244,9.4414,15.4120,0,10.3565,15.4343,0,0.9154,0.9067,255,255
3,0.9114,22.5209,8.8834,0,22.7776,8.1245,0,0.8011,0.8645,255,255
3,0.9040,16.1039,15.4343,0,17.0078,15.4343,0,0.9040,0.8928,255,255
3,0.9017,7.1424,15.2222,0,6.3054,15.1330,0,0.8417,0.8484,255,255
3,0.8856,21.2263,11.5729,0,21.4718,12.1309,0,0.6096,0.8157,255,255
3,0.8837,0.1339,0.6808,0,0.4241,0.1786,0,0.5800,0.8606,255,255
3,0.8783,5.0220,0.2232,0,5.7139,0.4352,0,0.7237,0.7932,255,255
3,0.8752,1.0714,9.5530,0,1.7186,9.2182,0,0.7287,0.7953,255,255
3,0.8625,16.5056,0.7589,0,15.7356,0.6026,0,0.7857,0.8061,255,255
3,0.8483,4.3859,15.2892,0,5.0666,15.3115,0,0.6811,0.7771,255,255
3,0.8155,10.6355,15.3785,0,11.4278,15.4343,0,0.7943,0.7750,255,255
3,0.8089,22.7887,10.4346,0,22.8222,11.2046,0,0.7708,0.7621,255,255
3,0.8086,22.6771,9.7092,0,22.7887,10.4346,0,0.7339,0.7449,255,255
3,0.7732,4.3859,15.2892,0,5.0666,15.3115,0,0.6811,0.7321,255,255
3,0.7204,0.1674,13.0349,0,0.3571,12.5438,0,0.5264,0.6642,255,255
3,0.7174,22.6548,7.5107,0,22.7776,8.1245,0,0.6260,0.6478,255,255
3,0.7047,22.0522,0.1562,0,22.7106,0.2232,0,0.6618,0.6794,255,255
3,0.7028,22.0856,14.0951,0,22.7329,14.2067,0,0.6568,0.6523,255,255
3,0.6897,15.1441,0.3906,0,15.6798,0.5915,0,0.5721,0.6403,255,255
3,0.6820,0.1339,0.6808,0,0.6696,0.4352,0,0.5893,0.6134,255,255
3,0.6512,20.2554,6.4728,0,20.6014,6.9415,0,0.5826,0.5874,255,255
3,0.6493,21.2263,11.5729,0,21.5165,12.0863,0,0.5897,0.6182,255,255
3,0.6477,22.6994,3.2029,0,22.7664,3.7609,0,0.5620,0.5818,255,255
3,0.6474,2.3882,8.9838,0,1.9530,9.3856,0,0.5923,0.6077,255,255
3,0.6423,22.7218,11.8184,0,22.8222,11.2270,0,0.5999,0.6168,255,255
3,0.6366,21.5165,8.7048,0,21.9740,8.9280,0,0.5091,0.5731,255,255
3,0.6361,15.2222,15.4343,0,15.8584,15.4343,0,0.6361,0.6250,255,255
3,0.6350,5.0666,15.3115,0,5.6693,15.2780,0,0.6036,0.5977,255,255
3,0.6293,14.7535,0.0558,0,15.3227,0.1116,0,0.5719,0.5915,255,255
3,0.6265,0.1339,15.4008,0,0.7142,15.3562,0,0.5820,0.5778,255,255
3,0.6205,21.7843,9.3186,0,22.2754,9.6311,0,0.5820,0.5879,255,255
3,0.6093,20.0992,14.9879,0,20.5790,15.3004,0,0.5727,0.5552,255,255
3,0.6020,21.6504,14.2178,0,22.0856,14.0951,0,0.4522,0.5565,255,255
3,0.6004,0.1004,13.5706,0,0.1674,13.0349,0,0.5398,0.5586,255,255
3,0.5889,0.2232,8.9280,0,0.6250,9.2851,0,0.5375,0.5237,255,255
3,0.5835,22.3200,12.1867,0,22.3870,12.6778,0,0.4956,0.5528,255,255
3,0.5827,19.1059,15.1218,0,19.6193,14.9544,0,0.5400,0.5461,255,255
3,0.5777,19.9876,9.0396,0,20.4340,8.8499,0,0.4850,0.5354,255,255
3,0.5685,20.7018,6.1938,0,20.2554,6.4728,0,0.5264,0.5241,255,255
3,0.5634,8.2919,15.4343,0,8.8276,15.4120,0,0.5361,0.5158,255,255
3,0.5558,21.2598,11.5394,0,21.7508,11.6957,0,0.5153,0.5308,255,255
3,0.5527,0.8593,14.0504,0,0.8147,14.4857,0,0.4375,0.5241,255,255
3,0.5389,0.6808,9.2740,0,1.0714,9.5530,0,0.4800,0.4676,255,255
3,0.5334,14.6754,0.2567,0,15.1441,0.3906,0,0.4875,0.4895,255,255
3,0.5315,21.6950,8.6378,0,22.1191,8.8276,0,0.4646,0.4955,255,255
3,0.5280,5.1448,0.0558,0,5.6358,0.0335,0,0.4915,0.4779,255,255
3,0.5261,22.1749,7.5107,0,22.6548,7.5107,0,0.4799,0.4928,255,255
3,0.5231,22.6548,7.5107,0,22.8110,7.0866,0,0.4519,0.4720,255,255
3,0.5157,21.6504,14.2178,0,22.0633,14.3741,0,0.4415,0.4499,255,255
3,0.5073,22.3870,12.6778,0,22.7552,12.9344,0,0.4489,0.4592,255,255
