 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length,Longest Shortest Path,spx,spy,spz
1,0,0,1,0,0,0.0000,0,0,0.0000,0.0000,0.1339,6.7964,0
2,0,0,1,0,0,0.0000,0,0,0.0000,0.0000,0.1786,5.4461,0
3,289,169,62,298,11546,0.5145,160,9,5.3258,47.7055,19.2510,5.9706,0
4,1,0,2,0,3,0.0539,0,0,0.0539,0.0539,0.2344,6.8411,0
5,49,28,10,46,590,0.1830,24,4,0.8298,2.7188,1.8637,4.9439,0
6,0,0,1,0,0,0.0000,0,0,0.0000,0.0000,0.2232,7.5218,0
7,1,0,2,0,15,0.2063,0,0,0.2063,0.2063,0.4464,1.4396,0
8,1,0,2,0,2,0.0427,0,0,0.0427,0.0427,0.3125,2.7788,0
9,1,0,2,0,0,0.0112,0,0,0.0112,0.0112,0.3013,6.7741,0
10,1,0,2,0,0,0.0112,0,0,0.0112,0.0112,0.3013,8.1468,0
11,3,1,3,1,53,0.2653,1,0,0.4977,0.7625,0.5580,10.3565,0
12,1,0,2,0,0,0.0158,0,0,0.0158,0.0158,0.4799,4.0734,0
13,1,0,2,0,5,0.0716,0,0,0.0716,0.0716,0.5915,4.1292,0
14,8,4,4,10,139,0.2527,4,0,0.5192,1.2671,1.4396,4.2854,0
15,1,0,2,0,1,0.0223,0,0,0.0223,0.0223,0.6808,4.0957,0
16,1,0,2,0,18,0.2629,0,0,0.2629,0.2629,0.7924,8.2807,0
17,1,0,2,0,0,0.0112,0,0,0.0112,0.0112,0.7477,8.9057,0
18,1,0,2,0,29,0.3625,0,0,0.3625,0.3625,1.1048,1.5847,0
19,1,0,2,0,11,0.1478,0,0,0.1478,0.1478,0.7812,13.4924,0
20,0,0,1,0,0,0.0000,0,0,0.0000,0.0000,0.8258,5.5912,0
21,1,0,2,0,0,0.0112,0,0,0.0112,0.0112,0.8928,5.5465,0
22,1,0,2,0,169,2.1237,0,0,2.1237,2.1237,1.6182,0.2232,0
